,,,D30,D28,D26,D24,D22,D20,D18,,
,,D32,D31,D29,D27,D25,D23,D21,D19,D16,
,C31,A32,A30,A28,A26,A24,A22,A18,D17,D15,D14
C32,B31,B29,B32,A31,A29,A27,A20,A16,A14,D13,D12
C29,C30,B27,B28,B30,A21,A25,A23,A12,A10,D11,D10
C28,C27,B25,B26,B20,B22,A19,A13,A11,A08,D09,D08
C26,C25,B23,B24,B14,B18,A15,A17,A09,A06,D07,D06
C24,C23,B21,B19,B12,B10,B16,A05,A07,A04,D05,D04
C21,C22,B17,B15,B11,B08,B06,B04,B02,A03,D02,D03
C19,C20,C18,B13,B09,B07,B05,B03,B01,A01,A02,D01
,C17,C16,C14,C12,C10,C08,C06,C04,C02,,
,,C15,C13,C11,C09,C07,C05,C03,C01,,
